channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
76,103,91,94,89,79
74,103,91,94,89,79
77,103,91,94,89,79
75,104,91,94,89,79
76,104,91,94,89,79
75,104,90,94,89,79
75,104,91,94,89,79
75,104,91,94,89,79
77,104,91,94,89,79
75,104,90,94,89,79
78,105,90,94,89,79
75,105,90,94,89,79
76,105,90,94,89,79
78,105,90,94,89,79
74,105,90,94,89,79
78,105,90,94,89,79
78,105,91,94,89,79
76,106,91,94,89,79
77,106,91,94,89,79
78,106,90,94,89,79
77,106,90,94,89,79
74,106,90,94,89,79
78,106,90,94,89,79
77,106,90,94,89,79
74,106,90,94,89,79
77,106,90,94,89,79
75,106,90,94,89,79
76,106,90,94,88,79
75,106,90,94,88,79
78,106,90,94,88,79
76,106,90,94,88,79
74,106,90,94,88,79
77,106,90,94,88,79
76,106,90,94,88,79
75,106,90,94,88,79
75,107,90,94,88,79
76,107,90,94,88,79
74,107,90,94,88,79
77,107,90,94,88,79
77,107,90,94,88,79
75,107,90,94,88,79
75,107,90,94,88,79
74,107,90,94,88,79
76,107,90,94,88,79
74,107,90,94,88,79
76,107,90,94,88,79
77,107,90,94,88,79
75,107,90,94,88,79
75,107,90,94,88,79
75,107,90,94,88,79
74,107,90,94,88,79
78,106,90,94,88,79
75,106,90,94,88,79
76,106,90,94,88,79
75,106,90,94,88,79
77,107,90,94,88,79
77,107,90,94,88,79
75,107,90,94,88,79
74,106,90,94,88,79
78,107,90,94,88,79
77,107,90,94,89,79
76,107,90,94,89,79
78,107,90,94,89,79
75,107,90,94,89,79
75,106,90,94,89,79
75,107,90,94,89,79
74,106,90,94,88,79
74,106,91,94,89,79
78,106,91,94,89,79
79,106,91,94,89,79
76,106,91,94,89,79
74,106,91,94,89,79
73,106,90,94,89,79
78,106,90,94,89,79
75,106,90,94,89,79
75,106,90,94,89,79
75,106,90,94,89,79
74,106,90,94,89,79
74,106,90,94,89,79
77,106,90,94,89,79
77,106,90,94,89,79
75,106,90,94,89,79
75,106,90,94,89,79
77,106,90,94,89,79
75,106,90,94,89,79
75,106,90,94,89,79
76,106,90,94,89,79
80,106,90,94,89,79
75,106,90,94,89,79
75,106,90,94,89,79
77,106,90,94,89,79
74,106,90,94,89,79
76,106,90,94,89,79
69,106,90,94,89,79
75,106,90,94,89,79
81,106,90,94,89,79
78,106,90,94,89,79
78,106,90,94,89,79
80,107,90,94,89,79
80,107,90,94,89,79
84,107,90,94,89,79
83,107,90,94,89,79
78,107,90,94,89,79
81,107,90,94,89,79
78,107,90,94,89,79
81,107,90,94,89,79
79,106,90,94,89,79
81,106,90,94,89,79
76,106,91,94,89,79
81,106,91,94,89,79
85,106,91,94,89,79
84,106,91,94,89,79
77,106,91,94,89,79
73,106,91,94,89,79
83,106,91,94,89,79
77,106,91,94,89,79
84,106,91,94,89,79
82,106,91,94,89,79
80,106,91,94,89,79
86,106,91,94,89,79
83,106,91,94,89,79
79,106,91,94,89,79
83,106,91,94,89,79
83,106,91,94,89,79
84,106,91,94,89,79
83,106,91,94,89,79
82,106,91,94,89,79
84,106,91,94,89,79
86,106,91,94,89,79
87,106,91,94,89,79
92,106,91,94,89,79
91,106,91,94,89,79
92,106,91,94,89,79
106,106,91,94,89,79
102,106,91,94,89,79
103,106,91,94,89,79
104,106,91,94,89,79
100,106,91,94,89,79
102,106,91,94,89,79
104,106,91,94,89,79
106,106,91,94,89,79
101,105,91,94,89,79
96,105,91,94,89,79
91,105,91,94,89,79
83,105,91,94,89,79
90,105,91,94,89,79
86,105,91,94,89,79
86,105,91,94,89,79
91,105,91,94,89,79
90,105,91,94,89,79
83,105,91,94,89,79
86,105,91,94,89,79
86,105,91,94,89,79
90,105,91,94,89,79
96,105,91,94,89,79
84,105,91,94,89,79
88,105,91,94,89,79
90,105,91,94,89,79
88,105,91,94,89,79
99,105,91,94,89,79
93,105,91,94,89,79
88,105,91,94,89,79
94,105,91,94,89,79
89,105,91,94,89,79
